time,x,y,z
1.668,0.07,0.09,0.94
1.668,0.07,0.10,0.94
1.669,0.07,0.10,0.94
1.669,0.08,0.09,0.95
1.688,0.08,0.09,0.96
1.689,0.09,0.06,0.98
1.689,0.09,0.04,0.97
1.690,0.09,0.05,0.98
1.708,0.08,0.03,0.99
1.709,0.08,0.03,0.99
1.709,0.07,0.03,0.99
1.710,0.07,0.03,0.99
1.728,0.06,0.02,1.00
1.729,0.06,0.03,1.02
1.730,0.03,0.04,1.03
1.730,0.03,0.03,1.03
1.747,0.02,0.04,1.03
1.748,0.01,0.04,1.03
1.749,0.01,0.04,1.02
1.749,-0.01,0.05,1.02
1.768,-0.01,0.06,1.03
1.768,-0.02,0.07,1.03
1.769,-0.01,0.07,1.04
1.769,-0.02,0.08,1.05
1.789,-0.02,0.06,1.08
1.790,-0.01,0.04,1.10
1.791,-0.01,0.03,1.12
1.791,-0.01,0.02,1.12
1.808,-0.00,0.01,1.13
1.809,0.01,-0.00,1.13
1.810,0.00,-0.00,1.12
1.810,0.00,-0.00,1.14
1.829,-0.00,0.00,1.13
1.831,0.00,0.02,1.10
1.831,0.00,0.02,1.07
1.832,0.01,0.01,1.04
1.848,-0.01,0.03,1.00
1.849,-0.01,0.03,0.98
1.850,-0.03,0.03,0.99
1.850,-0.04,0.01,1.02
1.869,-0.04,-0.02,1.08
1.869,-0.04,-0.07,1.16
1.870,-0.04,-0.11,1.23
1.871,-0.04,-0.16,1.31
1.889,-0.02,-0.19,1.39
1.889,0.00,-0.20,1.47
1.892,0.02,-0.19,1.54
1.892,0.04,-0.20,1.58
1.909,0.06,-0.20,1.57
1.910,0.07,-0.20,1.50
1.911,0.10,-0.20,1.41
1.911,0.09,-0.19,1.30
1.929,0.08,-0.18,1.19
1.930,0.08,-0.16,1.09
1.931,0.08,-0.14,1.01
1.931,0.07,-0.13,0.97
1.948,0.04,-0.11,0.90
1.949,0.01,-0.09,0.83
1.950,-0.01,-0.08,0.76
1.950,-0.02,-0.06,0.71
1.969,-0.04,-0.03,0.67
1.969,-0.05,-0.02,0.64
1.974,-0.07,-0.00,0.62
1.974,-0.07,0.01,0.62
1.989,-0.06,0.00,0.61
1.989,-0.07,0.00,0.64
1.990,-0.08,-0.00,0.70
1.991,-0.09,-0.00,0.78
2.032,-0.09,-0.01,0.86
2.033,-0.09,-0.02,0.93
2.034,-0.08,-0.04,0.98
2.034,-0.08,-0.05,1.03
2.035,-0.07,-0.07,1.08
2.035,-0.06,-0.10,1.11
2.036,-0.04,-0.12,1.12
2.036,-0.03,-0.15,1.14
2.049,-0.01,-0.16,1.18
2.050,-0.02,-0.15,1.21
2.051,-0.01,-0.13,1.23
2.051,-0.02,-0.14,1.23
2.069,-0.02,-0.12,1.22
2.070,-0.03,-0.10,1.18
